,,,,inputs,,,,,,,,,,,,,,,,,,outputs,,,,,,,,
ins,i30,i14,i13,i12,i6,i5,i4,i3,i2,ibin,beq,PCsel,bne,blt,bge,bltu,bgeu,jal,isFPU,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,asel,obin
add,0,0,0,0,0,1,1,0,0,000001100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0000000000000100000
sub,1,0,0,0,0,1,1,0,0,100001100,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0000000001000100000
or,0,1,1,0,0,1,1,0,0,011001100,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0000000000110100000
and,0,1,1,1,0,1,1,0,0,011101100,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0000000000111100000
xor,0,1,0,0,0,1,1,0,0,010001100,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0000000000100100000
sll,0,0,0,1,0,1,1,0,0,000101100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0000000000001100000
srl,0,1,0,1,0,1,1,0,0,010101100,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0000000000101100000
sra,1,1,0,1,0,1,1,0,0,110101100,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0000000001101100000
slt,0,0,1,0,0,1,1,0,0,001001100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0000000000010100000
sltu,0,0,1,1,0,1,1,0,0,001101100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0000000000011100000
addi,1,0,0,0,0,0,1,0,0,100000100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0000000000000100010
addi,0,0,0,0,0,0,1,0,0,000000100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0000000000000100010
xori,0,1,0,0,0,0,1,0,0,010000100,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0000000000100100010
ori,0,1,1,0,0,0,1,0,0,011000100,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0000000000110100010
andi,0,1,1,1,0,0,1,0,0,011100100,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0000000000111100010
slli,0,0,0,1,0,0,1,0,0,000100100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0000000000001100010
srli,0,1,0,1,0,0,1,0,0,010100100,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0000000000101100010
srai,1,1,0,1,0,0,1,0,0,110100100,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0000000001101100010
slti,0,0,1,0,0,0,1,0,0,001000100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0000000000010100010
stliu,0,0,1,1,0,0,1,0,0,001100100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0000000000011100010
fadd,0,0,0,0,1,0,1,0,0,000010100,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0000000010000100000
fsub,1,0,0,0,1,0,1,0,0,100010100,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0000000011000100000
fmul,0,0,0,1,1,0,1,0,0,000110100,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0000000010001100000
fdiv,0,0,1,0,1,0,1,0,0,001010100,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0000000010010100000
beq,0,0,0,0,1,1,0,0,0,000011000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1100000000000001011
bne,0,0,0,1,1,1,0,0,0,000111000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0110000000000001011
blt,0,1,0,0,1,1,0,0,0,010011000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0101000000000001011
bge ,0,1,0,1,1,1,0,0,0,010111000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0100100000000001011
bltu,0,1,1,0,1,1,0,0,0,011011000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0100010000000001011
bgeu,0,1,1,1,1,1,0,0,0,011111000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0100001000000001011
jal,1,1,1,1,1,1,0,1,1,111111011,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0100000100000001111